comentario,polaridade
Meu limite já veio bom para mim. mas dps de 45 dias aumentou automaticamente sem pedir. não vou reclamar.foi ótimo????...enviei 3 convites para amigos e 2 deles conseguiram tmb o roxinho. ainda tenho alguns.para se quiser tentar eu envio..,positivo
Faço tudo isso e não consigo aumento de limite ??,negativo
Amo meu roxinho????,positivo
Melhor cartão??,positivo
Fiz a conta Nubank comecei a investir no CDI. O cartão chegou com função débito. Fiquei chateado. O Banco Inter?? já chegou com a função crédito. Pensando em cancelar????,negativo
@nubank o novo cartão e lindo. mas nenhum app que eu uso consegue ler ele. sempre tenho que digitar. Ces são modernosos demais né?,negativo
#Digio #Nubank #SouNu #BancoInter #BeTrigg #Visa #Mastercard #Credito #Compras #Money #Dinheiro #Finanças #SemAnuidade #Comprinhas #ComprasOnline #Amazon #eBay #Aliexpress #MercadoLivre #RecargaPay #PicPay,negativo
@kathog_  kkkk,neutro
O cálculo de vcs tá errado pra mim. Dá uma conferida lá ???? @nubank,negativo
Estacionado nos 7k faz um tempo... Infelizmente sendo necessário utilizar outro cartão.,negativo
Vou fazer 2 anos que tenho @nubank e meu limite não passa de 550 afff,negativo
O meu aumentou ontem?,positivo
@nubank nunca te pedi muita coisa ??  Aumenta meu limite?,neutro
Meu cartão ainda não chegou ??,negativo
Infelizmente também tenho que utilizar outros cartões que aprovaram limite 6 vezes maior q,negativo
Por mim eu pegaria meus 10 mil de limite do Itaú e 2 mil de credicard e transformaria tudo em nubank. mas. infelizmente só agora depois de meses vocês me deram 600 de limite. e olha que meu pagamento e grego com fatura em..,negativo
Nunca consigo esse cartão ??,negativo
Eu mesma tento a aumento do limite há tempos e não consigo ??,negativo
Kkkkkk faço tudo isso aí é meu limite há mais de um ano que estacionou e não aumenta nem 10 centavos,negativo
Discordo plenamente com com score baixo pra aumentar limite meu score está baixo sim mais isso não significa q eu não irei cumprir com as minhas obrigações de pagar minha contas em dias até porque nunca atrasei nenhuma fatura do meu cartão pago sempre em dias e antes do prazo,negativo
Eu estou muito satisfeita com o meu limite obrigada ??,positivo
Tô numa alegria que não cabe no ?? ganhei meu roxinho obg @nubank,positivo
#NuBank ??,positivo
Aumenta meu limite????,neutro
Ja tem 2 meses e nada do meu cartao de débito,negativo
Satisfeito... Porém um limite maior seria bem vindo!! Kkkkk,positivo
Alguém tem algum convite pra me enviar?,neutro
Quando fiz o meu botei o limite 700.Hoje tenho 1500 disponível sem pedir o aumento. ??,positivo
Todos me aprovam..menos o nu ??,negativo
Eu solicito o aumento do meu e vocês não aumentam mais. Faz tempo que não aumentam. Comecei com 1000.00 hoje estou com 5.000.00 mas estacionaram nisso.,negativo
Gente eu gasto mensal 6k... Tenho 2.8 de limite só. já faz muito tempo que eu vivo pagando adiantado pra poder continuar usando o cartão e nada de aumentarem... Já até cansei de pedir novo limite ??,negativo
Gente eu gasto mensal 6k... Tenho 2.8 de limite só. já faz muito tempo que eu vivo pagando adiantado pra poder continuar usando o cartão e nada de aumentarem... Já até cansei de pedir novo limite ??,negativo
Eu consegui aumentar o limite antes mesmo de começar a usar??,positivo
Na expectativa de um aumento de limite.,neutro
Eu tenho um limite muito abaixo dos meus gastos! Sempre pago adiantado a fatura. praticamente toda semana. assino o sistema de pontos mas o meu limite ainda não me atende! Quando preciso comprar passagem aérea tenho que recorrer a outros meios porque o meu Nubank não tem limite! ????,negativo
Meu cartão chegou hoje. Fiquei um pouco triste pq não veio a capinha (era o que eu mais queria),negativo
Faz tempo que estou implorando pra vocês aumentarem o meu limite e nada. Já tem uns 5 meses que tenho o cartão. pago fatura antecipada. tem meses que pago a fatura duas vezes. nunca paguei atrasada. e até agora nada de aumentarem o meu limite. Pois agora eu que não vou mais pagar fatura antecipada e nem duas vezes no mês. Quando vocês acharem que eu mereço aumento de limite. vocês aumentem. mas não faço mais nada para que isso aconteça. Abraços @nubank,negativo
?? vocês são muito é incheridos. vasculhando a vida dos outros acho errado vocês ficarem invadindo a vida financeira do clientes....,negativo
To sempre pagando minha fatura umas duas vezes. uma de adiantamento e fatura fechada normal... e nada do limite subir kk,negativo
O meu nunca aumenta. nunca atrasei. sempre pago em dia e sempre pago parte da minha fatura adiantado. antecipo parcela de comprar parceladas quando possível.  e quando peço nunca é liberado para mim.??,negativo
Tenho 4 cartões todos com limite bem superior ao nubank. mais dou preferência pra usar o nubank pois uso à nuconta e o mesmo cartão ja serve pra debito. e futuramente quero ficar com apenas 1 ou no máximo 2 cartões pra se organizar melhor. mais é difícil entender a lógica de aumento de limite do nubank parece ate que o sistema tem uma meta de solicitação se não alcançar a meta não tem limite a mais.,negativo
Posso dizer que nunca atrasei uma parcela sequer do meu Nubank. uso meu cartão regularmente (só não uso mais pq meu limite é baixo) e o limite é o mesmo há quase dois anos...,negativo
Alguem pode me enviar um convite,neutro
Disse que eu fui aprovada . mais no App fala que tô em análise e até hj não termina essa análise ??,negativo
Sinceramente @nubank. acho a avaliação de limite no mínimo questionável (ao menos no meu caso). Ter 2 cartões black em 2 bancos diferentes e ter um limite que não justifica o uso do cartão de vocês evidencia isso. Gostaria muito de usar o cartão Nubank como principal. mas nas condições atuais. impossível. Abs!,negativo
Comecei com 900 e em menos de 2 anos estou com quase 3 mil de limite. sabendo usar tudo se encaminha bem!,positivo
NU quando poderemos usar o app (celular) para pagar nas maquininhas ??,neutro
Faz mais de 1 ano que eu sou cliente. tenho o Nubank e mais 2 cartões de crédito e pago todos eles em dia. nunca atrasei o pagamento de nenhuma fatura e uso bastante o meu roxinho! Mas. por outro lado. vocês não aumentam meu limite por nada! ?????? Bem triste!,negativo
Eu tenho o Nubank no Brasil. mas queria mesmo um Nubank na Argentina. Quando vocês chegam aqui?? ????,neutro
Quero o crédito ??...to só no débito ...,neutro
Vcs são os melhores?????? sou pioneiro... Nu desde 2015????,positivo
Melhor cartão ??,positivo
Queria só mais 2k de limites pra ficar susegado ????,neutro
Ta sertu????????????,positivo
@nubank aumenta o meu...estou sendo obrigado a usar o concorrente,neutro
O sonho é ter o salário sendo 10x o limite que vocês me dão. Aí todo mundo fica feliz.,neutro
Sempre peço aumento de limite. pra ver se chega perdi do limite só meu outro cartão e então cancelar o outro  q tem anuidade. Mais tá difícil,negativo
É verdade sobre o post de vcs pra enviar pelo WhatsApp e a pessoa consegue ter o cartão @nubank ?,neutro
Comecei com 800 e em menos de um ano estou com 3.400.mas meu objetivo é chegar nos 20.000 o mais rapido possivel pois uso o cartão como forma de investimento,neutro
Melhor cartão. meu limite tá ótimo. eu deixo sempre baixo pra não gastar tanto.,positivo
Alguém tem convite pra mim manda da Nubank ????,neutro
@rivanna10,neutro
To fazendo tudo isso. mas só recebo recusa ??.,negativo
eu amo uma marca que se chama Nu ??,positivo
O meu acabou de chegar ????,positivo
Esse metodologia pelo score não presta. toda hora que você vai ver o seu score diminui pontos. so pela ação de ir ver,negativo
comecei com 50 e não sai do 50. é difícil,negativo
Quando solicitei meu salário era um agora tive uma aumento agora não esta compatível com minha renda,negativo
Eu comecei com 450 hoje estou com 2.300. Deixei de lado os outros cartões e passei a usar somente o meu NU.?? #SouNu,positivo
Alguém manda Convite. Por Favor? (Preciso muito hahahah),neutro
Como explorar bem o limite de 50 reais q foi dado a mim? ??,negativo
Já fiz o pedido do meu cartão faz tempo. Preenchi todos os dados. mandei as fotos que pediram. e até agora nada. nem um e-mail se quer. @nubank  poderia me dar uma resposta?,negativo
E quando o Nubank não me empresta dinheiro quando preciso ?? ????,negativo
Muito obrigado @nubank por não ter aumentado meu limite todas as vezes que eu pedi. estaria muito mais lascado hoje em dia ??,positivo
????,positivo
@nubank por favor. vai. Nunca te pedi nada ??,neutro
@thaisrodrigues11,neutro
O meu limite é de 50 reais. espero que aumente meu limite logo logo,neutro
Amo meu roxinho.almentaram meu limite porém n estou satisfeita aínda . más já já chego lá ????????,positivo
Já faz 3 messes q tenho o meu. pago sempre adiantado. mais nunca consigo aumentar meu limite ?? e eu viajo bastante preciso de um limite maior. me socorre! @nubank,negativo
Uso minha nuconta e não aumentam meu limite ??,negativo
 tenho o cartão a qse 2 anos enviei convite concretizado para umas 10 pessoas! Uma amiga estudante com primeiro crédito elevaram (sem ela solicitar) para 9 mil e eu precisei para algo importante um aumento infimo e não me atenderam.. ,negativo
Poxa tá dando uma inveja ?????? Pena que não consegui o meu.,negativo
Alguém tem convite da Nubank pr,neutro
Mano vocês me deram 50 fuckings reais de crédito! Nunca vi isso ! A @timeneon concorrente de vocês me deram 750. usei e paguei certinho e já pedi pra vocês aumentarem meu limite e não aumentam de jeito nenhum! Vai entender vocês! Não sei como vou ficar com dívida com um cartão de crédito com limite de 50 reais...,negativo
Maravilhoso e prático. comecei com 700 reais . depois aumentaram pra 1.500 reais e hoje limite ta em um nivel jesus choquei quando vi ?? #omelhor,positivo
Tenho o nubank a quase um ano. o limite é 400 sempre pago a fatura em dias nunca parcelado! Já pedi várias vezes mais limite mas sempre negado. vou esperar até Dezembro se não aumentar vou cancelar pq 400 não dá nem pra passar no supermercado aqui de casa!,negativo
Tudo conversa furada. meu limite estouro todo mês. pago antecipado. pago a fatura uns 10 dias antes. meu Scores é acima de 800. meu Serasa é mais de 800. e quando peço aumento eles retorna dizendo que não é possível. às vezes compro em outro cartão pq o Nubank não me dá limite.,negativo
Já estou há um ano e sempre paga antes do vencimento e até agora só aumentou duas vezes. ñ acho isso justo de ñ aumentar esse limite mais um pouco ????????,negativo
Nubank abaixa meu limite! Não sei lidar com o limite que vocês me deram!! hahahah,neutro
Pra se ver como é bom quando tem alguém preocupado bem ajudar o cliente e não só em ganhar. Eu amo esse roxinho ????,positivo
Eu tenho já a uns 2 anos e meu limite não aumenta ?? é só $500.00.. E olha que me score é bom. eu sempre pago antes de vencer  e sempre antecipo tbm. Não sei mais oq fazer ??????,negativo
@lucvicentin,neutro
Olha @jainara_mayra  taí a resposta pra tua pergunta,neutro
Quero um sem limites. porque quem tem limites é municipio! ??,neutro
@cynthiabetordo,neutro
Nubank ainda vai me levar a falência com o aumento do limite???????? ?????,neutro
@nubank Estou algum tempo querendo minha função debito . fiz o pedido pelo site porem ja faz 1 mês e nada . Ajuda ai queridos ??,negativo
Comecei com 2.000 em alguns meses foi pra 4100.00??,positivo
@naatoliveira,neutro
Qual a taxa de juros da com nubank ? Se puder me enviar com comparativos de outros bancos. agradeço. ??,neutro
Tenho quase 1 pontos no Serasa e meu limite não aumenta. além de ser baixo kkkk mas beleza.,neutro
1 ano e 4 meses de uso e meu limite não sai do inicial de 450 reais,negativo
Eu tenho nuconta e não foi aprovado o cartão de crédito...Eu precisava muito do cartão de crédito...,negativo
Os comportamentos citados. podem não ser muito vantajosos. Quando se paga a fatura antes do vencimento. aquele dinheiro que poderia ter rendido um pouco mais não vai render e. além disso. quando se antecipa as parcelas de uma compra. o valor de desconto recebido é menor do que o  rendimento. se deixado o valor da compra na conta e ir pagando as parcelas mensalmente.,negativo
É o melhor banco ??,positivo
@lrebecacs,neutro
@caiofregis @rodrigoichaso,neutro
Nubank. meu aumenta limite rsrsrs,neutro
Eu fiquei apertado por um tempo. aí não conseguia pagar a fatura total e era parcelado o restante da fatura que se juntava com as outras faturas e o pagamento mínimo foi aumentando e quase que meu nome foi para o SPC. aí conversei com um atendente do nubank e me fez um acordo bacana. paguei tudo certinho e zerei minha dívida com a nubank. mas infelizmente bloquearam minha conta já tentei várias e várias vezes reativar minha conta ou criar outra... ???? Quero ter meu nuzinho de volta melhor cartão de todos.,neutro
Seja nubank! Quero brinde por favor nunca te pedi nada vai @nubank,neutro
2 anos no mesmo limite. tá dificil viu. minha renda já até duplicou. estou usando outros cartões também,negativo
Eu curto muito vocês. mas vocês me negam muito um bom limite... então. acabo trocando vocês por outros que me dão mais espaço...,negativo
Sempre aumentavam meu limite.uma vez viajei . atrasei o pagamento é nunca mais aumentaram.,neutro
Lê isso aqui. mo. @leocardosopersonaltrainer,neutro
Acho legal se preocupar em não deixar os clientes se endividar. mais existe pessoas que zelam pelo seu nome limpo e eu sou uma delas faz tempo que eu peço pra aumentar mais meu limite e não aumentam e não é pra me individar e sim pra me ter um limite desejável eu gosto de olhar e ver um limite amável e satisfatório no meu Nubank????,negativo
Nossa. tem tempos que tendo o aumento. Pago em dia. antecipo parcela e nada. Já pensei em cancelar varias vezes. até desanima usar. limite quando aumenta er pouco. Os outros cartões já deixar pre liberado um limite pra vc ajustar.,negativo
Aumenta o meu Nu ???? Antecipo o de todos os bancos. vocês aumentaram até o da minha esposa que mal compra. mas o meu nada ????,negativo
??????????,positivo
?????? Quero,neutro
e essa taxa de 13%... vão justificar também?,negativo
@annacrs_,neutro
Quando me mandam notificações informando sobre o aumento do meu limite eu dou cada risada...de desespero mesmo! Olho para o app e digo: - Pelo amor de Deus @nubank não faz isso comigo não.,neutro
O meu  não aumentar,neutro
Pagava o nubank com antecedência e sempre utilizava o limite . e em um ano de uso não tive um aumento sequer. revoltado . resolvi ir no meu banco físico. Bradesco e conversei com o gerente e expliquei que desejava ter um cartão de crédito sem tarifas e ele me apresentou o Banco next . que o banco é proprietário. fiz a conta em questão de minutos e já tive um limite aprovado de 22 mil reais. resultado larguei o nubank. e vcs perderam um cliente. com enorme potencial de compra!!,negativo
Assim que recebi meu @nubank Pedia limite direto as vezes era correspondido às vezes não ?? e não conto as vezes que eu menos esperava meu limite era aumentado ?? em um ano meu limite aumentou 4x e hj com quase 2 anos  já passa dos 4.000 ????,positivo
Mas o que pode fazer com o limite de 50 reais,negativo
Comecei com 500 agr está em 2700. isso sem ter que ficar solicitando mais limite,positivo
Vai completar dois anos q tive o primeiro aumento!????????????????????????????,neutro
Juro que eu adoraria entender isso de vocês. Tenho a cartão a mais de 3 anos. e desde janeiro do ano passado que o limite estacionou nos 20.000. Pago a fatura em dias. utilizo o cartão com frequência. tendo mês que o limite chega a estourar. Porém. desde junho que estou querendo comprar uma moto. e não consigo devido ao limite insuficiente. Resultado. fui obrigado a dá uma entrada de 50% em espécie e o saldo parcelar no cartão. já que não tinha limite suficiente. Última vez que consultei meu score. estava em mais de 900 pontos. pago a fatura integral... E ainda assim. meu limite não aumenta. Mas. ainda assim. o Nubank é um ótimo cartão. Ultimamente so tenho utilizado ele. junto com o Banco Inter!,negativo
Peço pra aumentar e nada desisto,negativo
NUBANK ME ACEITA PELO AMOR DE DEUS,neutro
Eu nunca peço aumento. eles aumento sempre. Comecei com 400 hj está super alto o limite nem uso tudo mas sei q o dia q precisar vou ter esse limite!! ??,positivo
Eu tenho o limite meio alto mas sempre deixo baixinho e só aumento quando preciso porque nem pensar que vou sujar meu nome Deus é mais ????,positivo
O problema é que vocês não aumentam aí uma compra necessária que poderia ser a parcelada acabamos comprando a vista porque não dá tempo de pagar antecipado e esperar o dinheiro contar no crédito. Aí começa o início da desgraça??,negativo
Só fico triste porquê quando peço um aumento no meu limite não me dão e o limite que tenho não condiz nada com meu ganho. ganho mensalmente cerca de 3000% do meu limite. é muito baixo o meu limite!,negativo
Aumenta meu limite @nubank ????,neutro
aí gente sobre o limite @leandrodeesouza @wesleymontini  @jehmontini,neutro
Tenho meu nubank mais me senti revoltada kkkkkkk EU PEDI UM PRA MINHA IRMÃ PRA EU USAR PORQUE ELA NÃO TEM SALÁRIO.. já estou usando a 4 meses pago sempre certinho e ela está tendo almento de limite constantemente devido o meu uso do cartão dela. AGORA EUUUUUUUU???? Eu pedi o meu e sabe quanto me deram??? 50.00 reais kkkk isso mesmo 50.00 estou usando assim mesmo porém não da pra comprar nada com 50 reais pedi almento no crédito não me deram agora eu vou cancelar tanto o meu quanto o dela tou rindo de desgosto kkkk,negativo
Tenho o cartão à 9 meses. nunca paguei atrasado. sempre paguei em dias. inclusive antecipado. antecipei parcelas várias vezes... e nesse mês paguei uma parcela de antecipação dobrada no valor de R$ 412.42. e nunca aumentaram o meu limite... muita falta de organização. às vezes. pessoas que nem precisam aumentam o limite várias vezes... inclusive com apenas 6 meses. já aumentaram 2 vezes...,negativo
Cartão bom de mas,positivo
Alguém com convite pra enviar?,neutro
Quem quiser o convite eu mando,neutro
@nubank Se aumentar meu limite eu faço o cancelamneto dos cartões que já possuo pois o programa de po??????ntos de vcs é o melhor,positivo
Ganho 3.400 bruto meu limite é 400 reais ??,negativo
O meu eu costumo usar o limite. sempre pago adiantando as faturas. é mesmo assim não liberam o limite que eu desejo. e olha que já vai fazer 1 ano que uso o cartão,negativo
Deixei de usar o cartão pq o limite oferecido não me atendia e demoraria muito para se equiparar ao do meu outro cartão já em uso. Gostaria de usar o Nubank mas infelizmente não é possível com esses limites oferecidos,negativo
Quem quiser o convite eu mando,neutro
@giovannac__,neutro
Pra mim vcs nrm liberaram limite ?? nome limpo score  acima de 500 ??,negativo
meu sonho era ter um cartão de crédito nubank. mas sigo tentando (já foram 6 tentativas),negativo
Uso demais o cartão. coloco grana no limite pelo menos umas 3 vezes ao mês (como um pré-pago). pago minha fatura sempre adiantada. minha conta salário no Nubank. pago Rewards. concentro meus gastos todos no banco (larguei Personalité. Prime. VanGogh) e JAMAIS tive aumento de limite! Difícil acreditar nesses depoimentos!,negativo
Quando fiz 15 anos. ganhei um cartão de crédito. invés de uma moto ou festança. TUDO o que eu comprava era no meu CPF. hoje tenho 23 anos e meu CPF ainda é pouco movimentado. Eu troco de celular uma vez no ano. acabei de montar um consultório. comprei dois ar condicionados. eu comprei muuuuuuita coisa. e ainda assim. meu CPF é pouco movimentado. Eu não entendo. Aí por isso. meu limite nunca é aumentado. af.,negativo
E eu querendo que vocês parem de aumentar o meu todo mês ????,neutro
@thathamatos,neutro
Se aumentarem meu limite eu cancelo outros card que tenho @,neutro
@hannamonroe_ aumentaaaaaaaaaaaaaaaaaaaaaaa,neutro
Comecei com 500 reais e estou esperando ansiosamente pra aumentar meu limite e cancelar meus outros cartões.... e ficar só com a Nubank,neutro
@witerjr_ viu corno,neutro
Como faço para mudar minha data de vencimento para o dia 3,neutro
Cada dia mais apaixonada por esse banco! E na hora que eu tiver limite que cubra os outros eu deixo todos pra trás. Parabéns @nubank pela excelente postagem! Só me identifiquei muitooo??,positivo
Alguém me envia o convite ? @nubank,neutro
Cartão top...?? Atendimento top...?? Empresa top... ?? Tô super satisfeito.?? @nubank mais como é grande o meu amor por você! ??,positivo
Estou tentando aumentar meu limite. fiz até portabilidade do meu salário. tenho um gasto médio bem alto. mas ainda não consegui ???????,negativo
@alvees_anna,neutro
Como faço para antecipar parcelas de compras?,neutro
Meu limite aumentou pra uma quantidade maior do que eu recebo. chega a ser até uma tentação gastar tudo. haha ??,positivo
Faz 3 mese que tenho o cartao e ja aumentaram meu limite .esse cartao me ajuda muito,positivo
Muito bom cartão de crédito Nubak começei com 400 e já estou bem,positivo
N consigo aumentar meu limite. Tenho movimentação mt alta. Ajuda ai nu,negativo
Consciência financeira! ????????,positivo
Quero aumentar meu limite a tempooos . chateadissima kkkkkkkkkkk,negativo
Explorei meu limite. paguei as faturas antes e sabe o que resultou? Cancelamento do cartão por ter um gasto acima do esperado ra,negativo
Quero ser cliente @nubank ??,neutro
E pra quem nem conseguiu o cartão ainda como faz pra provar que somos merecedores ?????? ajuda eu @nubank,neutro
Eu tenho o nome limpo e nem por isso consegui fazer meu cartão. perdi meu tempo,negativo
Poxa @nubank . eu só queria um cartão. quase 4 meses esperando. já desisti.,negativo
Já tenho faz um tempo o cartão e nunca aumentaram ???????,negativo
@leia.hs,neutro
timeneon aprende com eles viu ??,positivo
Tenho ja tem um tempo e aumentaram 1 vez e muito pouco.  Como o limete e baixo entao concentro minhas compras em outros cartões.. quando melhorarem meu limete irei usar mais..,negativo
Desde q meu cartão chegou sempre paguei antes do vencimento e sempre uso todo o limite e nada de aumento fala sério,negativo
Meu limite é 400 infelizmente eu tenho que usar outro cartão p fazer uma compra que eu quero pq 400 é muito pouco????,negativo
Não acha justo pra quem tem 50 reais de limite meus deus quem hoje em dia não tem 50 reais pra paga fatura do cartão isso algo completamente frustante fazendo pouco do cliente pra  dar só isso.  Aí gente que já teve nome sujo ou tá desempregado tem mais limite eu nunca tive nenhum dos dois e tenho só isso injusto demais,negativo
@maarigcp,neutro
Responde eu no PV,neutro
Tô de mal com vocês. Tenho nome limpo. renda fixa comprovada. tenho 18 e vcs não querem me dar um cartão.,negativo
Tbm quero,neutro
Tô chateado pq não ganho mais limite faz 3 meses eu compro e pago em dias estanquei em 1.200 e nada além disso muito chato gostaria desse certo esse aumento ????????,negativo
Meu cartão veio com limite de R$1000 e em menos de um ano já está em R$1650. As vezes eu peço pra aumentar mas não aceitam ai do nada eles aumentam sozinho.. Kkkk em fim é o único cartão e conta que uso e não pretendo mudar.. ????,positivo
Alguém tem convite para e enviar pra??,neutro
Já estourei meu limite 2 vezes e não aumentaram ??????,negativo
Já estar fazendo um ano que o meu limite teve um aumento. Já pedi várias vezes aumento e vcs não  dão e eu sempre pago a fatura antes do vencimento.,negativo
já faz quase um ano que não aumenta o meu limite mais sempre negam o meu pedido não sei pq . se eu nunca atrasei fatura e sempre pago adiantado,negativo
Aumenta mas o meu ????????,neutro
Tenho uma figurinha no whats que diz:  Limites. não temos ,negativo
????,positivo
@nubank como é possível antecipar a parcela de compras?,negativo
Que conversa fiada.se não der um limite alto para poder fazer comprar altas e parceladas.pra serve um cartão?,negativo
@graci_santtos eu tenho. Manda o e-mail no direct.,neutro
Há quase 2 anos que não consigo aumentar meu limite. já estou quase desistindo e pensando em parar de usar o cartão...,negativo
Amo meu NU e super indico! Maravilhoso! ??,positivo
Mas tu leu esse post @ren.martins ?,neutro
Me deram 50$ não paga nem meu plano de telefonia,negativo
@nubank manda uma capinha pra proteger meu cartão!!!,neutro
Paia issso,negativo
@mv_siqueira,neutro
Nubank melhora o rewards pelo amor de deusss 100 reais pra converter em um real é mt triste,negativo
??,neutro
Eu tenho e adoro o meu .porém conheço pessoas com renda boa . nome limpo e tudo certinho  que tenta e vcs nunca liberam o cartão de crédito assim como conheço pessoas que nunca trabalhou de carteira assinada e nem score alto e possuem o cartão em fim esse negócio de score. ter o nome limpo etc.. É uma mentira das piores.,positivo
Já mandei proposta de convite inúmeras vezes é nunca aprovam????,neutro
@jucilenedelimasantana,neutro
Infelizmente até o momento não me liberaram nem um limite. meu score é de 480. uso a NuConta e movimento bastante. nem 100 reais de limite. Tenho outros cartões e a há pouco tempo fiz outro cartão de crédito e fui aprovado na hora. Vou usar a NuConta mais 1 ano e se não me liberarem crédito vou cancelar minha relação com Nubank.,negativo
Amo meu roxinho! ????,positivo
Hoje estou com 3.050.00 ??,positivo
Não aumenta quando a gente quer porque é Deus agindo! HAHAHAHAHAHAHA labaxurias,neutro
Quando solicitei meu cartão meu limite ja foi bom...fiz exatamente como as orientações acima...e esta semana aumentaram ainda mais o meu limite..muito top.,positivo
Sei lá. meu limite é tão baixo e eu venho pedindo pra aumentar a tanto tempo que provavelmente vou cancelar o cartão quando vencer daqui a alguns meses.,negativo
Quem quiser o convite só me chamar no pv .,neutro
Minha fatura eh cerca de 2800 todo mes. e sempre pago em dia. Mas tem um tempo q tento aumentar o meu limite e não consigo.,negativo
Eu amo um banco ??,positivo
Com apenas dois meses de uso e  limite inicial de R$400 teve aumento para R$550...pra mim está ótimo (porém ansiosa pelos 1000) um dia chego lá???? @nubank the best??,positivo
Aumenta meu limiteeeeeee :'(,neutro
Até hoje aguardando kkkkk,negativo
???? vlw por cuidar do meu limite sem eu pedir. mas já peguei o cartão do BB com o limite que eu desejava. Agora o roxinho tá tão amuadinho na gaveta... Mas a culpa não foi minha. juro que tentei...?????,negativo
Libera o crédito para mim nubank. já tenho o cartão débito já movimentei a conta. acho que não libera porquê tenho 18 anos meu nome tá limpo. dá uma chance ai amo vcs ??,neutro
Sempre pago antes a fatura. até que meu limite triplicou. no primeiro mês foi alegria. aí vi que fiquei apertado financeiramente e corri pra abaixar o limite pro inicial,positivo
9 meses de roxinho. antecipo de 2 a 3x o limite do meu cartão . tem mês que a fatura vem negativa de tanto antecipar. mas ja desisti desse aumento. não me encaixo no algoritmo.,negativo
@nubank me dá limite PLEASE ???? tenho limite de black. não devo nem palito de fósforo. tenho crédito. @c6bank me deu baita limite mas vcs ( @nubank ) não me dão nada. e olha que tenho uma boaaaa grana rendendo na NUconta,negativo
LIBERA MEU CREDITOOOO,neutro
Serasa não serve pra nada. vive desatualizado... Meu score é horrível mas meu nome é limpo...,negativo
Já pararam p pensar que tb usamos o cartão p comprar p outras pessoas? Kkkk,neutro
Tenho o cartão a 1 ano e 5 meses e não aumentam o meu limite de de nenhuma forma. Limite inicial de R$400 depois desse tempo todo.,negativo
Eu sempre pago certo. as vezes adiantado. já usei meu limite total. já tenho 1 ano de cartão e só aumentaram 200 reais. Quero mais. preciso comprar coisas caras e não rola!,negativo
Meu namorado é muito cabeça. nunca se endividou. antecipa as parcelas e td mais .e o limite não sai dos 400. aí ele tem que comprar no meu ????????? única reclamação. o resto é só amor pelo roxinho,positivo
Preciso de um convite,neutro
Fiz tudo direitinho. conforme indicado e o limite aumentou mesmo. Pude até cancelar outros cartões e concentrar as compras apenas no nubank.,positivo
Não consigo aumento no meu limite,neutro
@ramoosdani,neutro
@jade_av,neutro
Comecei com 400.00 e hoje depois de 1 ano e 7 meses. continuo com 400.00 kkkk,negativo
Boa idéia. porém dar para analisar o perfil do cliente e seus pagamentos através de gráficos e valores depositado em conta e conceder o limite possível solicitado. mas nem assim adianta. espero um dia não precisar utilizar além do meu limite. mesmo tendo em conta um valor maior.,negativo
ja tenho meu nu há 3 anos.uso bastante e só aumentaram uma vez.já pedir 2 vezes e não me dão.e olha q nem peço valor alto de limite... #triste  mas eu te amo mesmo assim @nubank ????,positivo
Tenho a 1 ano já nunca atrasei sempre pago com 10 ou 15 dias de antecedência mas limite continua o msm,negativo
Pedir limites a um tempo e não aumentam o meu limite.,neutro
Indico sempre pra todas as pessoas quando tenho oportunidade! ??,positivo
Não sei qual a necessidade das pessoas exporem o total do limite do seu cartão. Tenho um limite muito bom. mas não acho necessário expor. sei lá até por segurança. ??,negativo
@marj.matos,neutro
@alessasouzada @danielnogueira83 @leni.nogueira369,neutro
@nubank nunca te pedi nada kkkkkkk,neutro
??,negativo
Estou na espera do meu aumento a muito tempo ..,negativo
Já tenho o cartão a 4 meses e nada do limite aumentar... ??,negativo
O meu chegou ontem 400.00 reais . está bom !,positivo
Gostaria de concentrar todas minhas compras num único cartão #Nubank.  Mas devido ao baixo #limite  hoje sou obrigada a trabalhar com #3  #cartoesdecredito,negativo
Comecei com 2.100 hj depois de 23  meses de cartão tenho 6.100. Melhor cartão de todos!,positivo
Tenho uma amiga q o limite é 50 reais e nunca sai desses 50 kkk,negativo
Eu vi o pessoal reclamando do limite em outros posts de vocês. porém eu nem gasto tanto no cartão e tenho um limite muito bom de R$ 2.100.00 ... não tenho o que reclamar de vocês! ??????,positivo
@nubank Me da um limite kkk tô em R$0.00,neutro
Confesso que não tenho o q reclamar sobre esse assunto. vcs são maravilhosos kkkkkk,positivo
Cara. eu sou muito fã do nubank. Inclusive pelas minhas últimas contas. umas 13 pessoas viraram nu por conta de mim.,positivo
E em contra partida. tem uma pessoa próxima a mim que evoluiu bastante a sua renda mensal quando se tornou médica. paga sempre em dia. antecipa e ja pediu inúmeras vezes o aumento do limite e nunca consegue. Ela sim que precisaria ter mais limite. Não eu q sou descontrolado com dinheiro e acabo me lascando. felizmente me eduquei mais.,neutro
Sou muito fã do nubank. mas esse papinho aí não colou não. Mantém o bom trabalho. mas não vem com mentiras. Valeu ????,negativo
@edvaniaa.soares sobre o aumento de limite. é assim que funciona. ??,neutro
@juniorschuab kkkkkkkkkkkk vc,neutro
Isso não influencia em nada. tenho a quase 8 meses e com limite de 400. sempre cumpro essas etapas e mesmo assim nunca aumentaram meu limite.,negativo
